IP: ::1, Method: GET, undefined
IP: ::1, Method: GET, Endpoint: undefined
IP: ::1, Method: GET, Endpoint: undefined
IP: ::1, Method GET, Endpoint undefined
IP: ::1, Method GET, Endpoint /assignments
IP: ::1, Method GET, Endpoint /assignments/1
IP: ::1, Method POST, Endpoint /assignments/
IP: ::1, Method POST, Endpoint /assignments/
IP: ::1, Method POST, Endpoint /assignments/
IP: ::1, Method POST, Endpoint /assignments/
IP: ::1, Method POST, Endpoint /assignments/
IP: ::1, Method POST, Endpoint /assignments/
